Country Name,Country Code,internet_usage_pct,internet_usage_year
Afghanistan,AFG,18.4,2020.0
Albania,ALB,83.1356,2023.0
Algeria,DZA,71.2432,2022.0
American Samoa,ASM,,
Andorra,AND,94.4855,2022.0
Angola,AGO,39.2935,2022.0
Antigua and Barbuda,ATG,91.4123,2022.0
Argentina,ARG,89.229,2023.0
Armenia,ARM,77.0277,2022.0
Aruba,ABW,97.17,2017.0
Australia,AUS,94.8762,2022.0
Austria,AUT,95.3347,2023.0
Azerbaijan,AZE,88.0,2022.0
"Bahamas, The",BHS,94.4117,2022.0
Bahrain,BHR,100.0,2023.0
Bangladesh,BGD,44.5027,2023.0
Barbados,BRB,76.2053,2022.0
Belarus,BLR,91.5125,2023.0
Belgium,BEL,94.6263,2023.0
Belize,BLZ,70.354,2022.0
Benin,BEN,33.7602,2022.0
Bermuda,BMU,98.37,2017.0
Bhutan,BTN,86.8403,2022.0
Bolivia,BOL,73.2831,2022.0
Bosnia and Herzegovina,BIH,83.3772,2023.0
Botswana,BWA,77.3272,2022.0
Brazil,BRA,84.1506,2023.0
British Virgin Islands,VGB,77.7043,2017.0
Brunei Darussalam,BRN,98.9704,2022.0
Bulgaria,BGR,80.3896,2023.0
Burkina Faso,BFA,19.9237,2022.0
Burundi,BDI,11.275,2022.0
Cabo Verde,CPV,72.1021,2022.0
Cambodia,KHM,56.7328,2022.0
Cameroon,CMR,43.8629,2022.0
Canada,CAN,94.0,2022.0
Cayman Islands,CYM,81.0677,2017.0
Central African Republic,CAF,10.5826396,2021.0
Chad,TCD,12.1839,2022.0
Channel Islands,CHI,,
Chile,CHL,94.1192,2023.0
China,CHN,77.4827,2023.0
Colombia,COL,72.7964,2022.0
Comoros,COM,27.3369432,2021.0
"Congo, Dem. Rep.",COD,27.24,2022.0
"Congo, Rep.",COG,36.2469,2022.0
Costa Rica,CRI,85.127,2023.0
Cote d'Ivoire,CIV,38.4133,2022.0
Croatia,HRV,83.2412,2023.0
Cuba,CUB,73.2178,2022.0
Curacao,CUW,68.1272,2017.0
Cyprus,CYP,91.2212,2023.0
Czechia,CZE,85.9941,2023.0
Denmark,DNK,98.7756,2023.0
Djibouti,DJI,65.0322,2022.0
Dominica,DMA,83.3767,2022.0
Dominican Republic,DOM,84.3832,2022.0
Ecuador,ECU,72.6943,2023.0
"Egypt, Arab Rep.",EGY,72.1981,2022.0
El Salvador,SLV,62.8885,2022.0
Equatorial Guinea,GNQ,66.8193,2022.0
Eritrea,ERI,26.5942,2022.0
Estonia,EST,93.1834,2023.0
Eswatini,SWZ,58.2502,2022.0
Ethiopia,ETH,19.3781,2022.0
Faroe Islands,FRO,97.582,2017.0
Fiji,FJI,85.2199,2022.0
Finland,FIN,93.5139,2023.0
France,FRA,86.8364,2023.0
French Polynesia,PYF,72.7039,2017.0
Gabon,GAB,73.6951,2022.0
"Gambia, The",GMB,54.1899,2022.0
Georgia,GEO,81.8842,2023.0
Germany,DEU,92.4764,2023.0
Ghana,GHA,69.8405,2022.0
Gibraltar,GIB,94.4445,2016.0
Greece,GRC,85.0102,2023.0
Greenland,GRL,69.4825,2017.0
Grenada,GRD,79.8955,2022.0
Guam,GUM,80.5055,2017.0
Guatemala,GTM,54.4043,2022.0
Guinea,GIN,33.923,2022.0
Guinea-Bissau,GNB,31.567,2022.0
Guyana,GUY,85.3163,2022.0
Haiti,HTI,38.9450183,2021.0
Honduras,HND,59.7135,2022.0
"Hong Kong SAR, China",HKG,95.6136,2022.0
Hungary,HUN,91.4501,2023.0
Iceland,ISL,99.8565,2022.0
India,IND,43.4054,2020.0
Indonesia,IDN,69.2084,2023.0
"Iran, Islamic Rep.",IRN,81.717,2022.0
Iraq,IRQ,78.7156,2022.0
Ireland,IRL,95.5905,2022.0
Isle of Man,IMN,,
Israel,ISR,91.8508,2022.0
Italy,ITA,87.0278,2023.0
Jamaica,JAM,85.1185,2022.0
Japan,JPN,84.9234,2022.0
Jordan,JOR,90.5,2022.0
Kazakhstan,KAZ,92.8785,2023.0
Kenya,KEN,40.8137,2022.0
Kiribati,KIR,54.4214,2022.0
"Korea, Dem. People's Rep.",PRK,0.0,2013.0
"Korea, Rep.",KOR,97.416,2023.0
Kosovo,XKX,89.443,2018.0
Kuwait,KWT,99.7473,2023.0
Kyrgyz Republic,KGZ,79.7703,2022.0
Lao PDR,LAO,66.1548,2022.0
Latvia,LVA,92.1879,2023.0
Lebanon,LBN,90.0522,2022.0
Lesotho,LSO,47.0368,2022.0
Liberia,LBR,30.1275,2022.0
Libya,LBY,88.4281,2022.0
Liechtenstein,LIE,96.8046,2022.0
Lithuania,LTU,88.5029,2023.0
Luxembourg,LUX,99.3479,2023.0
"Macao SAR, China",MAC,89.7864,2022.0
Madagascar,MDG,20.5777,2022.0
Malawi,MWI,18.0,2023.0
Malaysia,MYS,97.6927,2023.0
Maldives,MDV,83.9119,2022.0
Mali,MLI,33.0528,2022.0
Malta,MLT,91.9155,2023.0
Marshall Islands,MHL,73.2238,2022.0
Mauritania,MRT,44.3616,2022.0
Mauritius,MUS,75.5,2022.0
Mexico,MEX,81.1832,2023.0
"Micronesia, Fed. Sts.",FSM,40.5434,2022.0
Moldova,MDA,63.5349,2022.0
Monaco,MCO,98.3776,2022.0
Mongolia,MNG,83.9145,2022.0
Montenegro,MNE,88.2219,2022.0
Morocco,MAR,89.9,2022.0
Mozambique,MOZ,21.207,2022.0
Myanmar,MMR,44.0216732,2021.0
Namibia,NAM,62.215,2022.0
Nauru,NRU,82.6668,2022.0
Nepal,NPL,49.5609,2022.0
Netherlands,NLD,97.0068,2023.0
New Caledonia,NCL,82.0058,2017.0
New Zealand,NZL,95.7299,2022.0
Nicaragua,NIC,61.0524,2022.0
Niger,NER,16.937,2022.0
Nigeria,NGA,35.4563,2022.0
North Macedonia,MKD,84.2304,2022.0
Northern Mariana Islands,MNP,,
Norway,NOR,99.0,2023.0
Oman,OMN,95.2517,2023.0
Pakistan,PAK,32.9486,2022.0
Palau,PLW,26.9703,2004.0
Panama,PAN,73.6085,2022.0
Papua New Guinea,PNG,26.991,2022.0
Paraguay,PRY,78.0948,2023.0
Peru,PER,74.675,2022.0
Philippines,PHL,75.2111,2022.0
Poland,POL,86.4147,2023.0
Portugal,PRT,85.7901,2023.0
Puerto Rico,PRI,87.2918,2022.0
Qatar,QAT,100.0,2022.0
Romania,ROU,89.2034,2023.0
Russian Federation,RUS,92.245,2023.0
Rwanda,RWA,34.4405,2022.0
Samoa,WSM,75.2869,2022.0
San Marino,SMR,85.0607,2022.0
Sao Tome and Principe,STP,56.9899,2022.0
Saudi Arabia,SAU,100.0,2023.0
Senegal,SEN,59.9832,2022.0
Serbia,SRB,85.3575,2023.0
Seychelles,SYC,86.6654,2022.0
Sierra Leone,SLE,30.3518,2022.0
Singapore,SGP,94.2863,2023.0
Sint Maarten (Dutch part),SXM,,
Slovak Republic,SVK,87.2131,2023.0
Slovenia,SVN,90.3779,2023.0
Solomon Islands,SLB,44.9575,2022.0
Somalia,SOM,27.6,2022.0
South Africa,ZAF,74.703,2022.0
South Sudan,SSD,12.1407,2022.0
Spain,ESP,95.4456,2023.0
Sri Lanka,LKA,50.1067,2022.0
St. Kitts and Nevis,KNA,76.4575,2022.0
St. Lucia,LCA,74.1859,2022.0
St. Martin (French part),MAF,,
St. Vincent and the Grenadines,VCT,77.7418,2022.0
Sudan,SDN,28.7045,2022.0
Suriname,SUR,75.7614,2022.0
Sweden,SWE,95.7033,2023.0
Switzerland,CHE,97.3444,2023.0
Syrian Arab Republic,SYR,35.78,2020.0
Tajikistan,TJK,36.0872,2022.0
Tanzania,TZA,31.8913,2022.0
Thailand,THA,89.5352,2023.0
Timor-Leste,TLS,40.7521,2022.0
Togo,TGO,37.6212,2022.0
Tonga,TON,57.5486,2021.0
Trinidad and Tobago,TTO,79.9843,2022.0
Tunisia,TUN,73.8379,2022.0
Turkiye,TUR,85.9607,2023.0
Turkmenistan,TKM,21.251,2017.0
Turks and Caicos Islands,TCA,,
Tuvalu,TUV,81.1913,2022.0
Uganda,UGA,10.0,2021.0
Ukraine,UKR,79.2183,2021.0
United Arab Emirates,ARE,100.0,2023.0
United Kingdom,GBR,95.3412,2022.0
United States,USA,97.1299,2022.0
Uruguay,URY,89.873,2022.0
Uzbekistan,UZB,89.0136,2023.0
Vanuatu,VUT,69.8888,2022.0
"Venezuela, RB",VEN,61.6,2017.0
Viet Nam,VNM,78.08,2023.0
Virgin Islands (U.S.),VIR,64.3775,2017.0
West Bank and Gaza,PSE,86.6377,2023.0
"Yemen, Rep.",YEM,17.6948,2022.0
Zambia,ZMB,31.2342,2022.0
Zimbabwe,ZWE,32.5615,2022.0
